2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
