2022-03-04/14:53:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-04/14:53:17		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-04/14:53:19		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-04/14:53:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-04/14:53:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-04/14:53:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-04/14:53:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-04/14:53:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-04/15:20:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-04/15:20:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-04/15:20:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-04/15:20:41		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-04/15:20:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-04/15:20:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-04/15:20:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-04/15:20:47		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-04/15:20:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-04/16:17:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-04/16:17:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-04/16:17:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-04/16:17:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-04/16:17:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-04/16:17:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-04/16:17:51		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-04/16:17:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-04/16:17:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-07/10:43:08		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-07/10:43:09		 wafer_16012020_051629.csv: File Transformed successfully!!
